Country,Beds_per_1000
Afghanistan,0.33
Albania,2.9
Arab World,1.3530049526272
United Arab Emirates,1.91
Argentina,3.19
Armenia,4.45
Antigua and Barbuda,3.32
Austria,7.05
Azerbaijan,4.35
Belgium,5.53
Benin,0.45
Burkina Faso,0.2
Bangladesh,0.97
Bulgaria,7.82
Bahrain,1.99
"Bahamas, The",2.76
Belarus,10.09
Belize,0.98
Bolivia,1.37
Brazil,2.49
Barbados,5.64
Brunei Darussalam,3.84
Bhutan,2.13
Botswana,2.43
Canada,2.54
Central Europe and the Baltics,6.42259913290384
Switzerland,4.48
Chile,2.02
China,5.0
Colombia,1.7
Costa Rica,1.17
Caribbean small states,2.47798537909965
Cuba,4.23
Cyprus,2.17
Czechia,6.63
Germany,7.77
Dominica,3.2
Denmark,2.59
Dominican Republic,1.42
East Asia & Pacific (excluding high income),3.99853556998185
Early-demographic dividend,1.49805691103526
East Asia & Pacific,4.70403380537013
Europe & Central Asia (excluding high income),4.65934989220088
Europe & Central Asia,5.15784744905117
Ecuador,1.32
"Egypt, Arab Rep.",1.11
Euro area,5.07235426289733
Eritrea,1.08
Spain,2.94
Estonia,4.46
European Union,5.26061701494458
Finland,2.75
France,5.86
United Kingdom,2.42
Georgia,4.9
"Gambia, The",1.14
Greece,4.2
Guatemala,0.43
Guyana,2.22
High income,5.33420481603133
Honduras,0.71
Croatia,5.8
Haiti,5.06
Hungary,6.76
IBRD only,3.06287319116192
IDA & IBRD total,2.72995930237515
Indonesia,1.38
India,1.61
Ireland,2.89
Iceland,2.83
Israel,3.06
Italy,3.16
Jamaica,1.71
Jordan,1.38
Japan,12.62
Kazakhstan,6.54
Kyrgyz Republic,4.04
St. Kitts and Nevis,4.39
"Korea, Rep.",12.65
Kuwait,2.33
Latin America & Caribbean (excluding high income),1.96028637391416
Lao PDR,1.27
Lebanon,2.73
Libya,3.2
St. Lucia,1.75
Latin America & Caribbean,1.91839068057596
Sri Lanka,3.87
Lower middle income,1.43913298989057
Low & middle income,2.57446444724486
Late-demographic dividend,4.55141207283052
Lithuania,6.01
Luxembourg,4.19
Latvia,5.28
Morocco,0.74
Moldova,5.59
Maldives,5.04
"Middle East, North Africa, Afghanistan & Pakistan",1.05775504465904
Mexico,1.0
Middle income,2.6677865117739
North Macedonia,4.76
Malta,4.36
Myanmar,1.07
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",0.88666013519786
Montenegro,3.94
Mongolia,8.23
Mozambique,0.71
Mauritius,3.68
Malaysia,1.93
North America,2.69250877367212
Niger,0.28
Nicaragua,0.97
Netherlands,2.88
Norway,3.4
Nepal,0.28
New Zealand,2.5
OECD members,4.57088384581144
Oman,1.16
Other small states,3.02475841451989
Pakistan,0.63
Panama,1.92
Peru,1.67
Philippines,0.99
Poland,6.15
Portugal,3.47
Paraguay,1.01
West Bank and Gaza,1.28
Post-demographic dividend,5.39805662603379
Romania,7.07
Russian Federation,7.05
Rwanda,0.74
South Asia,1.55244759679506
Saudi Arabia,2.54
Sudan,0.66
Singapore,2.77
El Salvador,1.09
Serbia,5.69
Suriname,2.87
Slovak Republic,5.69
Slovenia,4.28
Sweden,2.05
Seychelles,2.8
Syrian Arab Republic,1.39
Chad,0.15
East Asia & Pacific (IDA & IBRD countries),3.99853556998185
Europe & Central Asia (IDA & IBRD countries),5.69651267847657
Togo,0.37
Thailand,2.32
Tajikistan,4.26
Turkmenistan,3.68
Latin America & the Caribbean (IDA & IBRD countries),1.87684903048995
Timor-Leste,0.4
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",0.882696032925841
South Asia (IDA & IBRD),1.55244759679506
Trinidad and Tobago,1.97
Tunisia,2.42
Turkiye,2.92
Tanzania,0.64
Ukraine,6.15
Upper middle income,3.81566586944084
Uruguay,2.52
United States,2.71
Uzbekistan,4.77
St. Vincent and the Grenadines,4.02
"Venezuela, RB",0.99
World,3.13168402533295
