Country,Doctors_per_1000
Afghanistan,0.253
Albania,1.879
Andorra,4.587
United Arab Emirates,2.83
Argentina,5.304
Armenia,3.163
Australia,3.895
Austria,5.344
Azerbaijan,3.125
Burundi,0.069
Belgium,3.506
Burkina Faso,0.096
Bangladesh,0.661
Bulgaria,4.277
Bahrain,0.741
Belarus,4.605
Bolivia,0.961
Barbados,2.616
Bhutan,0.486
Botswana,0.433
Canada,2.415
Switzerland,4.388
Chile,2.798
China,2.385
Cote d'Ivoire,0.153
Cameroon,0.098
Colombia,2.394
Comoros,0.441
Cabo Verde,0.725
Costa Rica,2.494
Cuba,9.291
Cyprus,3.197
Czechia,4.153
Germany,4.443
Denmark,4.377
Dominican Republic,1.948
Ecuador,2.313
"Egypt, Arab Rep.",0.671
Eritrea,0.088
Spain,4.546
Estonia,3.479
Ethiopia,0.102
Finland,3.61
France,3.252
"Micronesia, Fed. Sts.",0.974
Gabon,0.586
United Kingdom,3.028
Georgia,5.121
Ghana,0.166
"Gambia, The",0.078
Guinea-Bissau,0.191
Greece,6.186
Guatemala,1.281
Guyana,1.387
Honduras,0.489
Croatia,3.606
Hungary,3.14
Indonesia,0.62
India,0.723
Ireland,3.458
Iraq,0.923
Iceland,4.318
Israel,3.567
Italy,3.97
Japan,2.592
Kazakhstan,3.663
Kenya,0.074
Kyrgyz Republic,1.692
"Korea, Rep.",2.507
Kuwait,2.273
Lao PDR,0.356
Lebanon,2.68
Liberia,0.151
St. Lucia,4.234
Sri Lanka,1.167
Lithuania,4.481
Latvia,3.338
Monaco,8.609
Moldova,4.038
Mexico,2.425
North Macedonia,3.343
Malta,4.164
Montenegro,2.831
Mongolia,3.778
Mozambique,0.084
Mauritania,0.203
Mauritius,2.689
Malawi,0.049
Malaysia,2.183
Namibia,0.38
Niger,0.035
Netherlands,3.805
Norway,4.682
Nepal,0.857
New Zealand,3.442
Oman,2.003
Panama,1.63
Peru,1.436
Philippines,0.752
Palau,1.798
Poland,3.303
Portugal,5.576
Paraguay,1.296
Romania,3.307
Russian Federation,3.807
Rwanda,0.116
Saudi Arabia,3.076
Senegal,0.082
Singapore,2.638
Sierra Leone,0.073
Serbia,2.875
South Sudan,0.043
Slovak Republic,3.671
Slovenia,3.303
Sweden,4.322
Eswatini,0.138
Syrian Arab Republic,1.5
Chad,0.058
Togo,0.079
Thailand,0.509
Tajikistan,1.995
Turkmenistan,1.96
Timor-Leste,0.752
Tonga,0.946
Trinidad and Tobago,4.298
Tunisia,1.315
Turkiye,1.989
Tuvalu,1.346
Uganda,0.158
United States,3.518
Uzbekistan,2.31
Viet Nam,0.856
Samoa,0.562
"Yemen, Rep.",0.176
Zambia,0.253
Zimbabwe,0.128
